,bookId,status,tags,score,scorerCount,title,author,cover,countWord,updateAt,caseId
0,131516,0,"['鬼怪', '仙侠', '驱魔人', '道术']",7.9,1975,地煞七十二变,祭酒,https://cdn.motieimg.com/book/0009/99776/1.jpg?x-oss-process=style/book_middle,805392,2021-02-28T14:53:20.000Z,0
1,742,0,['西幻传说'],8.8,793,灵吸怪备忘录,魔力的真髓,https://alioss.youdubook.com/uploads/20190306/ace09cfebf251233d1ce3bdeeb82b591.jpg,674200,2020-12-21T08:10:54.000Z,0
2,248366,0,"['玄幻', '异世大陆']",7.1,697,长夜余火,爱潜水的乌贼,https://qidian.qpic.cn/qdbimg/349573/1023422452/300,632200,2021-03-01T03:30:21.000Z,0
3,249149,0,"['科幻', '进化变异']",7.7,551,从红月开始,黑山老鬼,https://qidian.qpic.cn/qdbimg/349573/1024868626/300,590300,2021-03-01T10:57:22.000Z,0
4,118125,0,"['轻小说', '原生幻想']",7.4,570,骸骨武士,接卡口,https://qidian.qpic.cn/qdbimg/349573/1004937924/300,287000,2021-02-02T16:00:00.000Z,0
5,245453,0,"['玄幻', '异世大陆']",6.9,602,十方武圣,滚开,https://qidian.qpic.cn/qdbimg/349573/1024088056/300,925600,2021-03-01T08:43:37.000Z,0
6,12377,0,['奇幻玄幻'],7.3,521,万妞不挡之勇,静官,http://static.zongheng.com/upload/cover/2012/11/1353438409018.jpg,790000,2020-10-12T03:59:55.000Z,0
7,174044,0,"['轻小说', '原生幻想']",7.6,493,降魔专家,吃书妖,https://qidian.qpic.cn/qdbimg/349573/1015350660/300,423200,2020-12-24T16:00:00.000Z,0
8,228188,2,['军事科幻'],6.8,478,鬼子你好我们是游戏玩家,红心兔,http://s.junshishu.cn/bookcoverpic/32797_1592391011.jpg,156000,2020-11-20T16:00:00.000Z,0
9,40789,0,"['仙侠', '幻想修仙']",6.8,465,山海八荒录,洛水,https://qidian.qpic.cn/qdbimg/349573/3684254/300,687500,2021-02-28T14:43:04.000Z,0
10,248902,0,"['历史', '上古先秦']",7.3,420,革秦,守玄,https://qidian.qpic.cn/qdbimg/349573/1024655112/300,429700,2021-03-01T15:08:50.000Z,0
11,163853,1,"['科幻', '超级科技']",5.0,598,我的专属梦境游戏,碧蓝的世界,https://qidian.qpic.cn/qdbimg/349573/1014212226/300,967099,2021-01-10T16:00:00.000Z,0
12,235225,0,"['奇幻', '另类幻想']",6.9,393,异度降临时,极冷,https://qidian.qpic.cn/qdbimg/349573/1022169638/300,637400,2021-02-02T16:00:00.000Z,0
13,247551,0,['历史军事'],7.4,350,民国文匪,奶瓶战斗机,https://alioss.youdubook.com/uploads/20201102/a6040e00cef91ec6a393198ac70e9e3d.jpg,516400,2021-03-01T14:49:30.000Z,0
14,242760,0,"['玄幻', '东方玄幻']",6.7,380,旧日之箓,熊狼狗,https://qidian.qpic.cn/qdbimg/349573/1023715291/300,949300,2021-03-01T20:28:00.000Z,0
15,208267,0,"['宅文', '玄幻奇幻']",6.7,362,我真不是邪神走狗,万劫火,https://c1.kuangxiangit.com/uploads/allimg/c200320/20-03-20172822-97445-100154037.jpg,596100,2020-09-27T16:29:27.000Z,0
16,138255,0,"['玄幻', '东方玄幻']",5.5,416,千山独行,接卡口,https://qidian.qpic.cn/qdbimg/349573/1011457736/300,454300,2021-02-21T16:00:00.000Z,0
17,34661,1,"['穿越时空', '娱乐圈', '励志人生', '系统', '原创-言情-近代现代-爱情']",6.9,308,每天都在征服情敌,乘月返真,http://i9-static.jjwxc.net/novelimage.php?novelid=2423391&coverid=13&ver=1378f6943a0abb454d0f17a65b2d8823,814034,2020-12-28T09:36:22.000Z,0
18,119771,0,"['玄幻', '异世大陆']",5.8,354,濒危修仙门派考察报告,从零开始099,https://qidian.qpic.cn/qdbimg/349573/1004983884/300,618500,2021-02-22T16:00:00.000Z,0
19,245292,0,"['仙侠', '修真文明']",5.0,402,这是我的星球,姬叉,https://qidian.qpic.cn/qdbimg/349573/1024051587/300,815000,2021-03-01T11:54:20.000Z,0
0,34960,1,"['灵魂转换', '奇幻魔幻', '骑士与剑', '女强', '原创-言情-架空历史-奇幻']",7.1,208,这个梦我喜欢！,黑糖煮酸梅,http://i9-static.jjwxc.net/novelimage.php?novelid=2569443&coverid=1&ver=a0cc3e39d58a83315f16747d65f0d4d7,635375,2020-09-14T15:12:12.000Z,0
1,29188,0,"['玄幻', '异世大陆']",5.7,259,旅法师流浪记,千山九天,https://qidian.qpic.cn/qdbimg/349573/3324922/300,737700,2020-12-20T16:00:00.000Z,0
2,249235,0,['科幻时空'],7.2,203,这世界危在旦夕,通吃,https://alioss.youdubook.com/uploads/20201208/83da067020a8b76686e1a0e1a1401a6e.jpg,476900,2021-02-28T23:02:01.000Z,0
3,247497,0,"['历史', '架空历史']",7.5,193,雏鹰的荣耀,匂宮出夢,https://qidian.qpic.cn/qdbimg/349573/1024455227/300,490500,2021-03-01T16:19:29.000Z,0
4,156215,1,"['都市', '都市生活']",4.1,350,同桌凶猛,柳下挥,https://qidian.qpic.cn/qdbimg/349573/1011576939/300,874400,2020-09-20T16:00:00.000Z,0
5,238822,0,"['宅文', '科幻无限']",5.9,243,我，改编了世界,天风黑月,https://c1.kuangxiangit.com/uploads/allimg/c200910/10-09-20083159-60896-100195304.jpg,610947,2021-03-01T16:00:01.000Z,0
